ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
T-III Dr. Manuel Escontri_a,SAN ANGEL,ÁLVARO OBREGÓN,19.3428,-99.1933,2,Centros_de_Salud
T-III Minas de Cristo,MINAS CRISTO REY,ÁLVARO OBREGÓN,19.3814,-99.2007,2,Centros_de_Salud
T-III Jalapa el Grande,JALALPA EL GRANDE,ÁLVARO OBREGÓN,19.3717,-99.2392,2,Centros_de_Salud
T-II El Piru,EL PIRU,ÁLVARO OBREGÓN,19.3816,-99.2175,1,Centros_de_Salud
T-II La Conchita,LA CONCHITA,ÁLVARO OBREGÓN,19.3929,-99.2064,1,Centros_de_Salud
T-I Corpus Christi,CORPUS CHRISTY 2146,ÁLVARO OBREGÓN,19.3633,-99.2476,1,Centros_de_Salud
T-I Ave Real,AVENIDA REAL,ÁLVARO OBREGÓN,19.3618,-99.2385,1,Centros_de_Salud
T-I Hero_n Proal,REACOMODO VALENTIN GOMEZ FARIAS,ÁLVARO OBREGÓN,19.3595,-99.2313,1,Centros_de_Salud
T-I Puente Colorado,SAN CLEMENTE,ÁLVARO OBREGÓN,19.3493,-99.23,1,Centros_de_Salud
T-I Tarango,AGUILAS 3ER PARQUE,ÁLVARO OBREGÓN,19.3532,-99.2191,1,Centros_de_Salud
T-I Tetelpan,TETELPAN 2563,ÁLVARO OBREGÓN,19.3415,-99.2307,1,Centros_de_Salud
T-III Dr. Eduardo Jenner,SANTA FE 2500,ÁLVARO OBREGÓN,19.3819,-99.2428,2,Centros_de_Salud
T-III Dr. Manuel Marquez Escobedo,HOGAR Y REDENCION,ÁLVARO OBREGÓN,19.3709,-99.213,3,Centros_de_Salud
T-I UNEME EC Dr. Manuel Escontri_a,SAN ANGEL,ÁLVARO OBREGÓN,19.3428,-99.1933,1,Centros_de_Salud
T-III Dr. Manuel Marti_nez Baez,SAN MARTIN XOCHINAHUAC 2452,AZCAPOTZALCO,19.4985,-99.1928,1,Centros_de_Salud
T-I Santa Ba_rbara depende del C..S. Manuel Martinez Baez,SANTA BARBARA,AZCAPOTZALCO,19.4959,-99.1782,1,Centros_de_Salud
T-I Reynosa depende del C..S. Manuel Martinez Baez,SAN ANDRES 2408,AZCAPOTZALCO,19.4925,-99.1847,1,Centros_de_Salud
T-I Santa Ine_sdepende del C..S. Manuel Martinez Baez,SANTA INES,AZCAPOTZALCO,19.4927,-99.1901,1,Centros_de_Salud
T-II Tezozo_moc,TEZOZOMOC,AZCAPOTZALCO,19.4894,-99.1988,3,Centros_de_Salud
T-II Santiago Ahuizotla,SANTIAGO AHUIZOTLA,AZCAPOTZALCO,19.4789,-99.2119,1,Centros_de_Salud
T-I 23 de Abril depende del C.S. Santiago Ahuizotla,SAN PEDRO XALPA 2490,AZCAPOTZALCO,19.482,-99.2157,1,Centros_de_Salud
T-I San Pedro Xalpa depende del C.S. Santiago Ahuizotla,SAN PEDRO XALPA 2491,AZCAPOTZALCO,19.4844,-99.2098,1,Centros_de_Salud
T-I San Miguel Amantla depende del C.S. Santiago Ahuizotla,SAN MIGUEL AMANTLA,AZCAPOTZALCO,19.4753,-99.2043,1,Centros_de_Salud
T-II El Arenal,LA RAZA,AZCAPOTZALCO,19.465,-99.1485,2,Centros_de_Salud
T-I Prohogardepende del C.S. El Arenal,PRO HOGAR,AZCAPOTZALCO,19.4743,-99.15,1,Centros_de_Salud
T-I Tlatilco depende del C.S. El Arenal,TLATILCO 2572,AZCAPOTZALCO,19.4596,-99.1644,1,Centros_de_Salud
T-III Dr. Galo Sobero_n y Parra,SANTA CATARINA,AZCAPOTZALCO,19.4908,-99.1771,3,Centros_de_Salud
T-III Portales,SINDICATO MEXICANO DE ELECTRICISTAS,AZCAPOTZALCO,19.472,-99.1794,1,Centros_de_Salud
T-III Mixcoac,SANTA MARIA NONOALCO,BENITO JUÁREZ,19.3814,-99.1888,1,Centros_de_Salud
T-I Valentin Gomez Farias,TACUBAYA,MIGUEL HIDALGO,19.3957,-99.1878,1,Centros_de_Salud
T-I Xoco,XOCO,BENITO JUÁREZ,19.3609,-99.1661,1,Centros_de_Salud
T-III Dra. Margarita ChornEy Salazar,ATLANTIDA,COYOACÁN,19.3408,-99.1478,2,Centros_de_Salud
T-II Ajusco,AJUSCO,COYOACÁN,19.3193,-99.1601,2,Centros_de_Salud
T-II Santa ursula Coapa,PEDREGAL DE SANTA URSULA,COYOACÁN,19.3089,-99.1596,2,Centros_de_Salud
T-III San Francisco Culhuacan,EX EJIDO DE SAN FRANCISCO CULHUACAN,COYOACÁN,19.337,-99.123,1,Centros_de_Salud
T-I Copilco el Alto,COPILCO EL ALTO,COYOACÁN,19.3327,-99.1777,1,Centros_de_Salud
T-II Carmen Serdan,CARMEN SERDAN 2131,COYOACÁN,19.3203,-99.1087,2,Centros_de_Salud
T-III Dr. Gustavo A. Rovirosa PErez,PEDREGAL DE SANTA URSULA,COYOACÁN,19.3143,-99.1501,2,Centros_de_Salud
T-II Nayaritas,AJUSCO HUAYAMILPAS,COYOACÁN,19.3221,-99.1531,1,Centros_de_Salud
T-I LA CiEnega,PEDREGAL DE SANTO DOMINGO 2375,COYOACÁN,19.3356,-99.1688,1,Centros_de_Salud
T-III Policlinica Dr. Salvador Allende,AMPLIACION CANDELARIA,COYOACÁN,19.3274,-99.1507,2,Centros_de_Salud
T-I Santo Domingo Poniente,PEDREGAL DE SANTO DOMINGO 2375,COYOACÁN,19.319,-99.1697,1,Centros_de_Salud
