ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
LA CUESTA,EL MIRADOR,ÁLVARO OBREGÓN,19.3455,-99.2259,4,PILARES
ÁRBOL DEL CONOCIMIENTO,LA CAÑADA 2DA SECCION,ÁLVARO OBREGÓN,19.3843,-99.2221,6,PILARES
SANTA ÚRSULA,PEDREGAL DE SANTA URSULA,COYOACÁN,19.3099,-99.1571,1,PILARES
BENEMÉRITO DE LAS AMÉRICAS,EL ARBOLILLO,GUSTAVO A. MADERO,19.5351,-99.1385,5,PILARES
CARLOTA BOTEY,LOS ANGELES,IZTAPALAPA,19.341,-99.0663,3,PILARES
CHICHICASPALT,PEDREGAL DE SAN NICOLAS 4TA SECCION,TLALPAN,19.2778,-99.24,3,PILARES
BELÉN DE LAS FLORES,BELEM DE LAS FLORES 2101,ÁLVARO OBREGÓN,19.3971,-99.2176,2,PILARES
EL CAPULÍN,EL CAPULIN 2174,ÁLVARO OBREGÓN,19.3956,-99.2122,1,PILARES
CENTENARIO,JUAN GONZALEZ ROMERO,GUSTAVO A. MADERO,19.5091,-99.0906,1,PILARES
BENITA GALEANA,NUEVA TENOCHTITLAN,GUSTAVO A. MADERO,19.4553,-99.1005,1,PILARES
LA FORTALEZA,GABRIEL RAMOS MILLAN SECCION CUCHILLA,IZTACALCO,19.3877,-99.0916,3,PILARES
AGRÍCOLA PANTITLÁN,AGRICOLA PANTITLAN,IZTACALCO,19.4154,-99.0683,1,PILARES
JOSÉ MARTÍ,LA ASUNCION,IZTACALCO,19.3905,-99.1212,1,PILARES
PALMITAS,CITLALLI 2135,IZTAPALAPA,19.339,-99.0259,3,PILARES
SAN MIGUEL TEOTONGO,SAN MIGUEL TEOTONGO,IZTAPALAPA,19.3405,-98.9925,2,PILARES
ACAHUALTEPEC,SANTIAGO ACAHUALTEPEC 2DA AMPLIACION 2530,IZTAPALAPA,19.346,-99.0081,2,PILARES
GABRIELA MISTRAL,LEYES DE REFORMA 1RA SECCION,IZTAPALAPA,19.36,-99.0688,1,PILARES
COOPEREMOS PUEBLO,SANTA CRUZ MEYEHUALCO 2498,IZTAPALAPA,19.3413,-99.0408,2,PILARES
TLALTENCO,SELENE 2546,TLÁHUAC,19.2911,-99.0093,2,PILARES
GARCÍA LORCA,ZAPOTITLA 2597,TLÁHUAC,19.3116,-99.0369,2,PILARES
VIADUCTO,JARDIN BALBUENA 2225,VENUSTIANO CARRANZA,19.4072,-99.1133,2,PILARES
TULYEHUALCO,BARRIO CALYEQUITA,XOCHIMILCO,19.2544,-99.0115,2,PILARES
COLOSIO (IXTLAHUACAN),IZTLAHUACAN,IZTAPALAPA,19.3423,-98.9964,5,PILARES
HERRERIA (SANTA CRUZ),SANTA CRUZ,MILPA ALTA,19.1935,-99.0189,4,PILARES
MOCTEZUMA,MOCTEZUMA 2DA SECCION,VENUSTIANO CARRANZA,19.428,-99.1011,6,PILARES
CENDI TRES ESTRELLAS,TRES ESTRELLAS,GUSTAVO A. MADERO,19.4714,-99.1109,2,PILARES
CUCHILLA DEL TESORO,CUCHILLA DEL TESORO 2154,GUSTAVO A. MADERO,19.4485,-99.0549,5,PILARES
ANA BOLENA,MIGUEL HIDALGO 2335,TLÁHUAC,19.2919,-99.054,6,PILARES
EL MOLINO,CANANEA,IZTAPALAPA,19.2925,-99.0619,5,PILARES
SANTA ANITA (CONGRESO DE LA UNION),SANTA ANITA 2492,IZTACALCO,19.404,-99.1216,2,PILARES
SANTA MARTHA ACATITLA NORTE (PATOLLI),SANTA MARTHA ACATITLA 2522,IZTAPALAPA,19.3695,-99.0087,5,PILARES
CASA AMARILLA,OBSERVATORIO,MIGUEL HIDALGO,19.4065,-99.1893,3,PILARES
AGRÍCOLA ORIENTAL (SACMEX),AGRICOLA ORIENTAL,IZTACALCO,19.3865,-99.0644,7,PILARES
