ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
Viveros De Coyoacán,DEL CARMEN,COYOACÁN,19.3537,-99.17177,1,Sitios_Publicos
Villa,VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,19.4871,-99.11429,1,Sitios_Publicos
Toxicológico Xochimilco,TIERRA NUEVA,XOCHIMILCO,19.26485,-99.11495,1,Sitios_Publicos
Toxicológico Venustiano Carranza,CUCHILLA PANTITLAN 2156,VENUSTIANO CARRANZA,19.42128,-99.06899,1,Sitios_Publicos
Ticomán,LA PURISIMA TICOMAN,GUSTAVO A. MADERO,19.509,-99.1326,4,Sitios_Publicos
San Juan De Aragón,SAN JUAN DE ARAGON I SECCION 2438,GUSTAVO A. MADERO,19.45719,-99.09314,1,Sitios_Publicos
Rubén Leñero,SANTO TOMAS,MIGUEL HIDALGO,19.45135,-99.1694,2,Sitios_Publicos
Plaza Principal San Antonio Tecomitl,CRUZTITLA,MILPA ALTA,19.21748,-98.99382,6,Sitios_Publicos
Plaza Garibaldi,CENTRO,CUAUHTÉMOC,19.4404,-99.13921,4,Sitios_Publicos
Plaza De La Igualdad,LA ASUNCION,TLÁHUAC,19.24327,-98.9954,2,Sitios_Publicos
Plaza De La Constitución (El Zócalo),CENTRO,CUAUHTÉMOC,19.43128,-99.13242,36,Sitios_Publicos
Plaza Cívica Valentín Campa,SANTA MARIA AZTAHUACAN 2506,IZTAPALAPA,19.35466,-99.03208,1,Sitios_Publicos
Plaza Cívica San Pedro Atocpan,PANCHIMALCO,MILPA ALTA,19.20126,-99.04998,1,Sitios_Publicos
Peralvillo,SAN SIMON TOLNAHUAC,CUAUHTÉMOC,19.45963,-99.14132,1,Sitios_Publicos
Parque México,HIPODROMO,CUAUHTÉMOC,19.41192,-99.16941,19,Sitios_Publicos
Parque Loreto Y Peña Pobre,PEÑA POBRE,TLALPAN,19.29638,-99.18368,4,Sitios_Publicos
Parque Lira,OBSERVATORIO,MIGUEL HIDALGO,19.40683,-99.19006,2,Sitios_Publicos
Parque España,CONDESA,CUAUHTÉMOC,19.41526,-99.17277,8,Sitios_Publicos
Parque Ecológico Huayamilpas,AJUSCO HUAYAMILPAS,COYOACÁN,19.32419,-99.15047,1,Sitios_Publicos
Parque Cultural Infantil (Patolli San Miguel Teotongo),SAN MIGUEL TEOTONGO,IZTAPALAPA,19.3442,-98.9895,1,Sitios_Publicos
Parque Cultural Infantil (Patolli Canal Nacional),LEYES DE REFORMA 3RA SECCION,IZTAPALAPA,19.37708,-99.05979,2,Sitios_Publicos
Parque Cultural Infantil (Patolli Cabeza De Juárez),LEYES DE REFORMA 3RA SECCION,IZTAPALAPA,19.37741,-99.06014,4,Sitios_Publicos
Paradero Auditorio Nacional,BOSQUE DE CHAPULTEPEC I,MIGUEL HIDALGO,19.42469,-99.19133,4,Sitios_Publicos
Moctezuma,MOCTEZUMA 2DA SECCION,VENUSTIANO CARRANZA,19.43263,-99.09801,2,Sitios_Publicos
Médico Infantil Inguarán,FELIPE ANGELES,VENUSTIANO CARRANZA,19.45211,-99.113,1,Sitios_Publicos
Medico Infantil De Tláhuac,LA HABANA,TLÁHUAC,19.26583,-98.99903,3,Sitios_Publicos
Medico Infantil Cedillo,FRANCISCO VILLA,AZCAPOTZALCO,19.49788,-99.20393,3,Sitios_Publicos
Magdalena Contreras,SAN JERONIMO LIDICE,LA MAGDALENA CONTRERAS,19.31974,-99.23901,1,Sitios_Publicos
Legaria,MEXICO NUEVO,MIGUEL HIDALGO,19.45096,-99.20266,1,Sitios_Publicos
